platform,query_name,tpch_ref,category,scale_factor,run_number,exec_time_s,mean_time_s,std_time_s,min_time_s,max_time_s,memory_before_mb,memory_after_mb,memory_delta_mb,network_rtt_ms,timestamp
duckdb_local,Q6_simple,Q6,simple_select,1,1,0.032136,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,2,0.042307,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,3,0.029544,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,4,0.038325,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,5,0.039409,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,6,0.039209,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,7,0.035224,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,8,0.03432,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,9,0.03047,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q6_simple,Q6,simple_select,1,10,0.036169,0.035711,0.003961,0.029544,0.042307,55.56,55.73,0.17,0.0,2026-04-24 06:35:00
duckdb_local,Q14_simple,Q14,simple_select,1,1,0.044667,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
duckdb_local,Q14_simple,Q14,simple_select,1,2,0.045912,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
duckdb_local,Q14_simple,Q14,simple_select,1,3,0.044328,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
duckdb_local,Q14_simple,Q14,simple_select,1,4,0.044567,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
duckdb_local,Q14_simple,Q14,simple_select,1,5,0.048126,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
duckdb_local,Q14_simple,Q14,simple_select,1,6,0.047735,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
duckdb_local,Q14_simple,Q14,simple_select,1,7,0.044509,0.045755,0.001401,0.044328,0.048126,61.78,62.08,0.3,0.0,2026-04-24 06:39:31
